queid,userid,result,difficulty,tstamp
26,user183,1,easy,67976
28,user185,0,easy,3063
8,user181,1,easy,26434
15,user180,1,easy,58288
9,user181,1,medium,4657
29,user185,0,easy,24165
27,user183,1,easy,32174
2,user160,0,easy,37815
10,user206,0,easy,283080
13,user188,1,very hard,55169
10,user181,0,hard,23890
6,user201,0,easy,171885
4,user193,0,hard,1000
4,user193,0,hard,1000
11,user181,1,hard,22870
5,user204,0,hard,159018
3,user160,1,easy,54792
14,user188,1,very hard,40905
28,user183,1,medium,64400
12,user181,0,medium,20385
25,user194,0,hard,170049
11,user206,0,easy,77314
23,user207,0,hard,195023
7,user201,1,easy,70349
15,user188,1,very hard,38308
21,user203,1,medium,239489
13,user181,0,medium,62947
24,user207,0,very hard,47111
22,user203,1,easy,41247
14,user181,1,hard,17191
29,user183,0,medium,94396
8,user201,1,easy,61439
15,user181,0,hard,24595
13,user190,1,easy,315830
30,user185,0,easy,208610
4,user160,0,hard,142222
26,user194,1,medium,120691
5,user160,1,easy,19089
6,user193,1,easy,184656
23,user174,0,medium,278858
6,user160,0,hard,15128
6,user160,0,hard,15128
23,user203,0,easy,94025
14,user190,1,easy,48723
27,user194,1,easy,26544
23,user176,0,hard,437753
30,user183,1,medium,114023
9,user201,1,easy,110915
6,user204,1,medium,237500
7,user193,1,hard,1000
8,user160,1,easy,56325
25,user207,0,hard,166721
9,user160,1,medium,23721
8,user193,1,easy,33708
10,user160,0,very hard,6246
24,user203,1,easy,94538
15,user190,1,easy,76964
24,user176,1,medium,100252
24,user174,1,easy,153618
16,user208,1,easy,185769
28,user194,0,hard,138892
26,user207,1,easy,2147483647
27,user207,1,easy,273
9,user193,1,easy,104437
10,user201,0,hard,166819
12,user206,0,hard,365589
25,user176,1,easy,100202
29,user194,0,medium,76945
28,user207,1,hard,1000
11,user201,0,hard,45501
29,user207,0,very hard,7645
25,user203,1,easy,153890
30,user207,1,medium,7114
0,,1,,0
26,user176,0,easy,51224
26,user203,1,easy,32577
13,user206,1,medium,98990
16,user190,1,very hard,100570
0,user184,1,,0
0,user183,1,,0
7,user204,1,medium,283613
11,user160,0,hard,260529
27,user176,1,easy,64738
12,user160,0,easy,3205
17,user190,1,easy,31771
13,user160,0,medium,8445
17,user208,1,medium,232340
14,user160,0,easy,3954
18,user190,1,easy,4767
15,user160,1,easy,4215
